marketing_alias,manufacturer_name
APL IPAD AIR 5 256G,APL IPAD AIR 5 256G
APL IPHONE SE3 64G,APL IPHONE SE3 64G
APL IPHONE SE3 128G,APL IPHONE SE3 128G
APL IPHONE SE3 256G,APL IPHONE SE3 256G
APL WAT ULT 49 TI,APL WAT ULT 49 TI
APL WAT S8 41 SS,APL WAT S8 41 SS
APL WAT S8 45 SS,APL WAT S8 45 SS
APL WAT SE2 40 AL,APL WAT SE2 40 AL
APL WAT SE2 44 AL,APL WAT SE2 44 AL
APL WAT S8 41 AL,APL WAT S8 41 AL
APL WAT S8 45 AL,APL WAT S8 45 AL
APL IPAD PRO 11 4GEN 128G,APL IPAD PRO 11 4GEN 128G
APL IPAD PRO 11 4GEN 256G,APL IPAD PRO 11 4GEN 256G
APL IPAD PRO 11 4GEN 512G,APL IPAD PRO 11 4GEN 512G
APL IPAD PRO 11 4GEN 1T,APL IPAD PRO 11 4GEN 1T
APL IPAD PRO 11 4GEN 2T,APL IPAD PRO 11 4GEN 2T
APL IPAD PRO 12.9 6GEN 128G,APL IPAD PRO 12.9 6GEN 128G
APL IPAD PRO 12.9 6GEN 256G,APL IPAD PRO 12.9 6GEN 256G
APL IPAD PRO 12.9 6GEN 512G,APL IPAD PRO 12.9 6GEN 512G
APL IPAD PRO 12.9 6GEN 1T,APL IPAD PRO 12.9 6GEN 1T
APL IPAD PRO 12.9 6GEN 2T,APL IPAD PRO 12.9 6GEN 2T
APL IPAD 10TH GEN 64G,APL IPAD 10TH GEN 64G
APL IPAD 10TH GEN 256G,APL IPAD 10TH GEN 256G
iPhone 14+,APL IPHONE 14 PLUS 128G
iPhone 14+,APL IPHONE 14 PLUS 256G
iPhone 14+,APL IPHONE 14 PLUS 512G
iPhone 14 Plus,APL IPHONE 14 PLUS 128G
iPhone 14 Plus,APL IPHONE 14 PLUS 256G
iPhone 14 Plus,APL IPHONE 14 PLUS 512G
iPhone14 Plus,APL IPHONE 14 PLUS 128G
iPhone14 Plus,APL IPHONE 14 PLUS 256G
iPhone14 Plus,APL IPHONE 14 PLUS 512G
i14 Plus,APL IPHONE 14 PLUS 128G
i14 Plus,APL IPHONE 14 PLUS 256G
i14 Plus,APL IPHONE 14 PLUS 512G
Apple iPhone 14 Plus,APL IPHONE 14 PLUS 128G
Apple iPhone 14 Plus,APL IPHONE 14 PLUS 256G
Apple iPhone 14 Plus,APL IPHONE 14 PLUS 512G
Apple iPhone14 Plus,APL IPHONE 14 PLUS 128G
Apple iPhone14 Plus,APL IPHONE 14 PLUS 256G
Apple iPhone14 Plus,APL IPHONE 14 PLUS 512G
Apple iPhone14 Pro Max,APL IPHONE 14 PRO MAX 128G
Apple iPhone14 Pro Max,APL IPHONE 14 PRO MAX 256G
Apple iPhone14 Pro Max,APL IPHONE 14 PRO MAX 512G
Apple iPhone14 Pro Max,APL IPHONE 14 PRO MAX 1T
Apple iPhone 14 Pro Max,APL IPHONE 14 PRO MAX 128G
Apple iPhone 14 Pro Max,APL IPHONE 14 PRO MAX 256G
Apple iPhone 14 Pro Max,APL IPHONE 14 PRO MAX 512G
Apple iPhone 14 Pro Max,APL IPHONE 14 PRO MAX 1T
iPhone 14 ProMax,APL IPHONE 14 PRO MAX 128G
iPhone 14 ProMax,APL IPHONE 14 PRO MAX 256G
iPhone 14 ProMax,APL IPHONE 14 PRO MAX 512G
iPhone 14 ProMax,APL IPHONE 14 PRO MAX 1T
iPhone 14 Pro Max,APL IPHONE 14 PRO MAX 128G
iPhone 14 Pro Max,APL IPHONE 14 PRO MAX 256G
iPhone 14 Pro Max,APL IPHONE 14 PRO MAX 512G
iPhone 14 Pro Max,APL IPHONE 14 PRO MAX 1T
iPhone14 Pro Max,APL IPHONE 14 PRO MAX 128G
iPhone14 Pro Max,APL IPHONE 14 PRO MAX 256G
iPhone14 Pro Max,APL IPHONE 14 PRO MAX 512G
iPhone14 Pro Max,APL IPHONE 14 PRO MAX 1T
